AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,TimeDiff(ms),Acc_Magnitude,Gyr_Magnitude,Acc_L2Norm,Gyr_L2Norm,Acc_Mean,Gyr_Mean,Acc_Variance,Gyr_Variance,Acc_StdDev,Gyr_StdDev
-0.42,-0.93,6.5,0.01,0.01,0.19,1721198961416,10000.0,6.57961245059312,0.1905255888325765,6.57961245059312,0.1905255888325765,1.7166666666666668,0.0699999999999999,17.225233333333335,0.0108,4.150329304203865,0.1039230484541326
0.78,3.48,12.33,0.05,0.18,0.04,1721198961426,10000.0,12.835408057401214,0.191049731745428,12.835408057401214,0.191049731745428,5.53,0.0899999999999999,36.5025,0.0060999999999999,6.041729884726724,0.0781024967590665
1.5,1.13,5.2,0.05,-0.08,-0.1,1721198961436,10000.0,5.52873403230794,0.1374772708486752,5.52873403230794,0.1374772708486752,2.61,-0.0433333333333333,5.065300000000001,0.0066333333333333,2.2506221362103416,0.0814452781524707
-1.75,3.22,13.32,-0.01,0.07,-0.11,1721198961446,10000.0,13.814966521855926,0.1307669683062202,13.814966521855926,0.1307669683062202,4.930000000000001,-0.0166666666666666,58.96930000000001,0.0081333333333333,7.679147088056069,0.0901849950564579
-0.97,-1.28,5.03,0.05,-0.03,0.03,1721198961456,10000.0,5.280170451794147,0.06557438524302,5.280170451794147,0.06557438524302,0.9266666666666667,0.0166666666666666,12.652033333333335,0.0017333333333333,3.556969684061608,0.0416333199893226
-1.93,2.49,14.91,-0.03,0.19,0.08,1721198961466,10000.0,15.239196173026976,0.2083266665599966,15.239196173026976,0.2083266665599966,5.156666666666667,0.08,76.22973333333334,0.0121,8.730964055207956,0.11
0.95,0.98,7.26,0.08,0.01,0.11,1721198961476,10000.0,7.387184849453816,0.1363818169698585,7.387184849453816,0.1363818169698585,3.063333333333333,0.0666666666666666,13.209233333333335,0.0026333333333333,3.634450898462288,0.0513160143944688
-0.14,2.03,14.59,-0.04,0.18,-0.03,1721198961486,10000.0,14.731211762784486,0.186815416922694,14.731211762784486,0.186815416922694,5.493333333333333,0.0366666666666666,63.23923333333334,0.0154333333333333,7.952309936951234,0.1242309676905614
-0.37,2.61,10.0,0.19,-0.03,0.0,1721198961496,10000.0,10.341614960923655,0.1923538406167134,10.341614960923655,0.1923538406167134,4.08,0.0533333333333333,28.5049,0.0142333333333333,5.338998033339214,0.1193035344544885
0.59,1.33,9.63,-0.03,0.09,0.02,1721198961506,10000.0,9.739296689186546,0.0969535971483265,9.739296689186546,0.0969535971483265,3.85,0.0266666666666666,25.193200000000008,0.0036333333333333,5.019282817295715,0.060277137733417
-0.19,4.48,11.83,0.17,0.02,0.01,1721198961516,10000.0,12.651300328424744,0.1714642819948224,12.651300328424744,0.1714642819948224,5.373333333333334,0.0666666666666666,36.71863333333334,0.0080333333333333,6.059590195164467,0.089628864398325
0.01,-0.89,7.48,-0.12,0.08,-0.01,1721198961526,10000.0,7.532768415396826,0.1445683229480096,7.532768415396826,0.1445683229480096,2.2,-0.0166666666666666,21.111300000000004,0.0100333333333333,4.594703472477849,0.1001665280087781
-2.95,2.73,11.19,0.13,-0.07,-0.0,1721198961536,10000.0,11.889974768686432,0.147648230602334,11.889974768686432,0.147648230602334,3.6566666666666654,0.02,50.628933333333336,0.0103,7.115401136501957,0.1014889156509222
-0.59,0.34,7.42,-0.09,0.2,0.05,1721198961546,10000.0,7.45118111442743,0.2249444375840398,7.45118111442743,0.2249444375840398,2.39,0.0533333333333333,19.1919,0.0210333333333333,4.380856080722123,0.1450287327853806
-0.94,2.05,8.68,0.08,-0.11,0.16,1721198961556,10000.0,8.968193798084428,0.21,8.968193798084428,0.21,3.263333333333333,0.0433333333333333,24.24023333333333,0.0192333333333333,4.923437146276301,0.1386842937514314
1.56,0.16,9.23,-0.19,0.23,0.11,1721198961566,10000.0,9.362270023877755,0.3179622619116929,9.362270023877755,0.3179622619116929,3.65,0.05,23.8423,0.0468,4.882857769790147,0.2163330765278393
0.21,3.94,18.6,0.11,-0.01,-0.04,1721198961576,10000.0,19.013881770958815,0.1174734012447073,19.013881770958815,0.1174734012447073,7.583333333333333,0.02,94.50343333333336,0.0063,9.72128763761948,0.0793725393319377
-0.71,1.82,2.81,0.11,-0.12,-0.01,1721198961586,10000.0,3.422367601529678,0.1630950643030009,3.422367601529678,0.1630950643030009,1.3066666666666666,-0.0066666666666666,3.295233333333333,0.0132333333333333,1.815277756524696,0.1150362261782493
-1.16,2.33,14.19,-0.1,0.14,0.14,1721198961596,10000.0,14.426732131706055,0.2218107301281883,14.426732131706055,0.2218107301281883,5.12,0.06,64.7437,0.0192,8.046346997240425,0.1385640646055101
0.59,0.9,7.53,0.1,-0.09,0.19,1721198961606,10000.0,7.606510369413822,0.2328089345364563,7.606510369413822,0.2328089345364563,3.0066666666666664,0.0666666666666666,15.369433333333332,0.0204333333333333,3.9203868856700015,0.1429452109492771
-0.04,-0.92,7.86,-0.18,0.04,0.03,1721198961616,10000.0,7.913760168213338,0.186815416922694,7.913760168213338,0.186815416922694,2.3000000000000003,-0.0366666666666666,23.378800000000005,0.0154333333333333,4.835162872127474,0.1242309676905614
-1.66,2.55,14.41,0.09,-0.06,-0.0,1721198961626,10000.0,14.727735739074085,0.1081665382639196,14.727735739074085,0.1081665382639196,5.1000000000000005,0.01,69.43809999999999,0.0056999999999999,8.332952657971843,0.0754983443527075
-0.09,0.67,8.79,-0.01,0.13,0.1,1721198961636,10000.0,8.815957123307712,0.1643167672515498,8.815957123307712,0.1643167672515498,3.123333333333333,0.0733333333333333,24.22773333333333,0.0054333333333333,4.922167544215996,0.0737111479583199
-0.85,3.39,9.55,-0.03,-0.02,0.22,1721198961646,10000.0,10.169419845792582,0.2229349680960795,10.169419845792582,0.2229349680960795,4.03,0.0566666666666666,27.3472,0.0200333333333333,5.229455038529349,0.1415391583037476
1.41,1.6,12.36,-0.09,0.15,0.14,1721198961656,10000.0,12.542635289284306,0.2240535650240808,12.542635289284306,0.2240535650240808,5.123333333333333,0.0666666666666666,39.28603333333333,0.0184333333333333,6.267857156423823,0.1357694123627753
0.48,1.85,11.68,0.09,-0.14,0.06,1721198961666,10000.0,11.835341144217178,0.1769180601295413,11.835341144217178,0.1769180601295413,4.67,0.0033333333333333,37.3243,0.0156333333333333,6.109361668783409,0.1250333288900736
0.15,1.42,9.6,-0.02,0.05,-0.03,1721198961676,10000.0,9.70561177875975,0.0616441400296897,9.70561177875975,0.0616441400296897,3.723333333333333,1.1564823173178713e-18,26.30463333333333,0.0019,5.128804279101839,0.0435889894354067
-0.44,1.35,12.31,0.12,-0.05,0.06,1721198961686,10000.0,12.391618134852283,0.1431782106327635,12.391618134852283,0.1431782106327635,4.406666666666667,0.0433333333333333,47.64803333333335,0.0074333333333333,6.902755488450489,0.086216781042517
-0.75,-0.03,7.85,0.03,0.0,0.14,1721198961696,10000.0,7.88580370032123,0.1431782106327635,7.88580370032123,0.1431782106327635,2.3566666666666665,0.0566666666666666,22.76213333333333,0.0054333333333333,4.770967756475968,0.0737111479583199
-0.49,4.66,7.81,0.11,-0.0,0.13,1721198961706,10000.0,9.107787876317715,0.170293863659264,9.107787876317715,0.170293863659264,3.9933333333333336,0.08,17.55583333333333,0.0049,4.189968178081228,0.0699999999999999
1.7,1.13,6.89,-0.15,0.12,0.04,1721198961716,10000.0,7.186028110159325,0.1962141687034858,7.186028110159325,0.1962141687034858,3.24,0.0033333333333333,10.0731,0.0192333333333333,3.17381473939485,0.1386842937514315
-1.35,1.64,10.81,0.02,-0.12,-0.01,1721198961726,10000.0,11.01672365088641,0.122065556157337,11.01672365088641,0.122065556157337,3.7,-0.0366666666666666,40.1491,0.0054333333333333,6.336331746365558,0.0737111479583199
-0.45,2.04,14.27,-0.02,0.21,-0.01,1721198961736,10000.0,14.422101095194138,0.2111871208194287,14.422101095194138,0.2111871208194287,5.286666666666666,0.06,62.075233333333344,0.0169,7.878783747085165,0.13
-1.83,-0.12,10.75,0.07,-0.22,0.23,1721198961746,10000.0,10.905310632898084,0.3258834147360064,10.905310632898084,0.3258834147360064,2.9333333333333336,0.0266666666666666,46.55623333333334,0.0520333333333333,6.8232128307222935,0.2281081614790083
-2.0,5.71,12.03,-0.01,0.11,0.23,1721198961756,10000.0,13.46569715982058,0.2551470164434615,13.46569715982058,0.2551470164434615,5.246666666666666,0.11,49.37123333333333,0.0144,7.026466632193832,0.12
